nome,regional
Paupina,SER 6
Sitio São João,SER 9
Luciano Cavalcante,SER 7
Vila Velha,SER 1
Varjota,SER 2
Cidade 2000,SER 7
Vila Peri,SER 4
Fátima,SER 4
Barra do Ceará,SER 1
Serrinha,SER 8
Conjunto Esperança,SER 10
Edson Queiroz,SER 7
Cidade dos Funcionários,SER 6
Jangurussu,SER 9
Praia do Futuro I,SER 2
Vicente Pinzon,SER 2
Jóquei Clube,SER 11
Pici,SER 11
Granja Portugal,SER 5
Parque Dois Irmãos,SER 8
Jardim Cearense,SER 10
Carlito Pamplona,SER 1
José Walter,SER 8
Messejana,SER 6
Dias Macedo,SER 8
Sapiranga,SER 7
São Bento,SER 6
Conjunto Ceará II,SER 11
Conjunto Ceará,SER 11
Pirambú,SER 1
Centro,SER 12
Leste,SER 1
Pirambú II,SER 1
Mondubim,SER 10
Mondubim II,SER 10
Damas,SER 4
Guararapes,SER 7
Parangaba,SER 4
Jacarecanga,SER 1
Cristo Redentor,SER 1
Vila do Mar,SER 1
Cajazeiras,SER 9
Autran Nunes,SER 11
Centro II,SER 12
João XXIII,SER 11
Álvaro Weyne,SER 1
Jovita feitosa,SER 3
Bonsucesso,SER 5
Antônio Bezerra,SER 3
Parreão,SER 4
Cartier,SER 10
Sapiranga II,SER 7
Aerolandia,SER 6
Tancredo Neves,SER 6
Bairro Ellery,SER 3
Vila do Mar II,SER 1
Cidade Jardim II,SER 8
Siqueira,SER 5
Jardim União,SER 8
Parque Rio Branco,SER 4
Conjunto Ceará II,SER 11
Aracapé,SER 10
Jardim Glória,SER 9
São Sebastião,SER 12
Floresta,SER 1
Conjunto João Paulo II,SER 9
Lagoa Redonda,SER 6
Vila Velha II,SER 1
Barra do Ceará II,SER 1
Lagoa do Urubu II,SER 1
Lagoa do Urubu I,SER 1
São Gerardo,SER 3
Rodolfo Teófilo,SER 3
Bela Vista,SER 11
Desembargador Gonzaga,SER 6
Aguanambi,SER 4
Alameda das Palmeiras,SER 9
Autran Nunes II,SER 11
Granja Lisboa,SER 5
José Walter II,SER 8
São Bento II,SER 6
Messejana II,SER 6
Sapiranga III,SER 7
Lagoa da Zeza,SER 6
Itaoca,SER 4
Itaperi,SER 8
Dom Lustosa,SER 11
Santa Filomena,SER 9
Cocó,SER 7
Verdes Mares,SER 2
MONTE CASTELO,SER 3
SAO JOAO DO TAUAPE,SER 2
João Paulo II,SER 9
